t(s),Average T volume 1,Total retention volume 1,Total solute volume 1,Total 1 volume 1,Total 2 volume 1
0.1,300.0000000000006,1.002144128572478e+18,5549768094617512.0,6.401791156218872e+17,3.5641524485597395e+17
0.1925925925925926,300.0000000000006,1.756303501704715e+18,7173501121825663.0,1.1229982705783725e+18,6.261317300045172e+17
0.2925925925925926,300.0000000000006,2.4100088511855017e+18,8973278505993613.0,1.5409272816187305e+18,8.60108291060777e+17
0.4005925925925926,300.0000000000006,2.9828706504235617e+18,1.0828220720936168e+16,1.906824072841431e+18,1.065218356861198e+18
0.5172325925925927,300.0000000000006,3.498746036561275e+18,1.265740630665405e+16,2.2361293543861673e+18,1.249959275868456e+18
0.6432037925925927,300.0000000000006,3.9775561474682373e+18,1.4442725026452912e+16,2.541663837781295e+18,1.4214495846604918e+18
0.7792526885925928,300.0000000000006,4.43317890227944e+18,1.6199637773091518e+16,2.832332431207654e+18,1.584646833298698e+18
0.9261854962725928,300.0000000000006,4.874663906578094e+18,1.7943674582655992e+16,3.113931810479876e+18,1.742788421515566e+18
1.084872928566993,300.0000000000006,5.308122298613605e+18,1.9679079011565596e+16,3.3903704533210906e+18,1.8980727662809508e+18
1.256255355444945,300.0000000000006,5.737974072317624e+18,2.1408304079454468e+16,3.6644693968053555e+18,2.0520963714328159e+18
1.4413483764731332,300.0000000000006,6.167567379537641e+18,2.3137659072432244e+16,3.938362481977502e+18,2.2060672384877084e+18
1.6412488391835767,300.0000000000006,6.599492994227422e+18,2.487728962920817e+16,4.213701327253416e+18,2.3609143773447977e+18
1.8571413389108555,300.0000000000006,7.035795462649571e+18,2.663734794976097e+16,4.491790604656203e+18,2.517367510043608e+18
2.090305238616317,300.0000000000006,7.478152719416968e+18,2.842575956693995e+16,4.773702200911329e+18,2.676024758938704e+18
2.342122250298215,300.0000000000006,7.927996152773922e+18,3.0248725509308376e+16,5.060349972610042e+18,2.8373974546545766e+18
2.614084622914665,300.0000000000006,8.386599212185112e+18,3.211093091571161e+16,5.352546461471162e+18,3.00194181979825e+18
2.907803985340431,300.0000000000006,8.855122193888811e+18,3.401687184920012e+16,5.651030915607098e+18,3.1700744064325207e+18
3.2250208967602583,300.0000000000006,9.334650765652195e+18,3.5970402475177584e+16,5.956494588079205e+18,3.3421857750978227e+18
3.5676151610936717,300.0000000000006,9.826213910923465e+18,3.797557445997553e+16,6.269591829517513e+18,3.518646506945985e+18
3.937616966573758,300.0000000000006,1.0330805035510352e+19,4.003604401695385e+16,6.590954167299758e+18,3.6998148241936445e+18
4.337218916492252,300.0000000000006,1.0849391093186925e+19,4.215567630976223e+16,6.921195643244882e+18,3.8860397736322796e+18
4.768789022404225,300.0000000000006,1.1382925460432714e+19,4.433813388762858e+16,7.260921650721372e+18,4.0776656758237194e+18
5.234884736789156,300.0000000000006,1.193235408876955e+19,4.658718103877876e+16,7.610732246944615e+18,4.275034660786167e+18
5.738268108324881,300.0000000000006,1.2498622830570072e+19,4.890660696333106e+16,7.971227407560932e+18,4.4784888160458143e+18
6.2819221495834645,300.0000000000006,1.3082683268504834e+19,5.1300159411863976e+16,8.34301033236149e+18,4.688372776731491e+18
6.869068514142735,300.0000000000006,1.3685496313219006e+19,5.3771769683764984e+16,8.726689874288441e+18,4.905034669246808e+18
7.503186587866747,300.0000000000006,1.4308037375700021e+19,5.632533753393319e+16,9.122883984193658e+18,5.128828053972431e+18
8.18803410748868,300.0000000000006,1.4951299416363688e+19,5.89648789166415e+16,9.532221369889489e+18,5.360113167557567e+18
8.927669428680368,300.0000000000006,1.5616295996038437e+19,6.169453941979837e+16,9.955343615762823e+18,5.59925784085582e+18
9.72647557556739,300.0000000000006,1.6304064671858067e+19,6.451852814750729e+16,1.039290736460261e+19,5.846638779107962e+18
10.589186214205375,300.0000000000006,1.7015669644779284e+19,6.7441176642369784e+16,1.0845585881835037e+19,6.102642586301887e+18
11.520913703934399,300.0000000000006,1.7752204245588052e+19,7.04669600430928e+16,1.1314070652815501e+19,6.36766663272947e+18
12.527179392841745,300.0000000000006,1.851479353297157e+19,7.360048348571515e+16,1.1799073049596449e+19,6.642119999889421e+18
13.613946336861678,300.0000000000006,1.9304596784815673e+19,7.684649055531333e+16,1.2301325871766315e+19,6.926424422494065e+18
14.787654636403207,300.0000000000006,2.0122809858084774e+19,8.020987958320634e+16,1.2821584800913232e+19,7.221015177588345e+18
16.05525959990806,300.0000000000006,2.0970667501591675e+19,8.369571356993234e+16,1.3360629834701021e+19,7.526341953320745e+18
17.424272960493298,300.0000000000006,2.1849445654192808e+19,8.730922746946651e+16,1.3919266709482066e+19,7.842869717241272e+18
18.902807389925353,300.0000000000006,2.276046372965748e+19,9.105583646049014e+16,1.4498328310757569e+19,8.171079582439446e+18
20.499624573711976,300.0000000000006,2.3705086893962465e+19,9.494114513355925e+16,1.509867607956221e+19,8.511469669266711e+18
22.22418713220153,300.0000000000006,2.468472834783765e+19,9.897095694983163e+16,1.5721201425491575e+19,8.86455596539626e+18
24.086714695370244,300.0000000000006,2.5700851628816683e+19,1.0315128381919142e+17,1.6366827155131611e+19,9.230873189865892e+18
26.098244463592458,300.0000000000006,2.6754972947100602e+19,1.074883557523063e+17,1.7036508924783854e+19,9.610975666564458e+18
28.27069661327245,300.0000000000006,2.7848663572144288e+19,1.119886302511144e+17,1.7731236737794073e+19,1.000543820409912e+19
30.61694493492684,300.0000000000006,2.8983552286505456e+19,1.1665880150667965e+17,1.8452036517196837e+19,1.0414856967801954e+19
33.15089312231358,300.0000000000006,3.016132790098991e+19,1.2150581184180706e+17,1.9199971703528366e+19,1.083985038561975e+19
35.497141443967976,300.0000000000006,3.121367909710524e+19,1.2600446630348189e+17,1.9869599946866037e+19,1.1218074683935742e+19
38.03108963135472,300.0000000000006,3.2310803184898294e+19,1.306136052833012e+17,2.0567473877243118e+19,1.1612715702371906e+19
40.7677536737324,300.0000000000006,3.345491709821725e+19,1.353548037320616e+17,2.1294473487117246e+19,1.2025088807367954e+19
43.7233508395003,300.0000000000006,3.4648045820762436e+19,1.4026802692172203e+17,2.2052044930791014e+19,1.2455732863049726e+19
46.46001488187798,300.0000000000006,3.571856389875141e+19,1.4483655434983053e+17,2.273319169701595e+19,1.2840535647385639e+19
49.41561204764588,300.0000000000006,3.683894050821082e+19,1.495374386752696e+17,2.344571316713365e+19,1.3243689902401905e+19
52.60765698667521,300.0000000000006,3.801150606297297e+19,1.54390875563753e+17,2.419052236917497e+19,1.3666592818234264e+19
56.055065520826886,300.0000000000006,3.923843651810662e+19,1.594372831909966e+17,2.496920976825755e+19,1.4109789466658101e+19
59.247110459856216,300.0000000000006,4.0342453803981914e+19,1.641419536628872e+17,2.5671598593979548e+19,1.4506713256339505e+19
62.69451899400789,300.0000000000006,4.15010051245921e+19,1.6899852867708634e+17,2.640824514884315e+19,1.4923761447071912e+19
66.4177202108917,300.0000000000006,4.271660687901156e+19,1.740256201955872e+17,2.718010383530388e+19,1.5362477423512111e+19
70.43877752512621,300.0000000000006,4.399164222078465e+19,1.7926516846305677e+17,2.7988959457440555e+19,1.5823417594881092e+19
74.16197874201002,300.0000000000006,4.514132946904453e+19,1.8415964013307686e+17,2.8720362400932024e+19,1.6236807427979452e+19
78.18303605624453,300.0000000000006,4.635017942168884e+19,1.8922371793582323e+17,2.948884154192927e+19,1.6672114161823773e+19
82.52577795561781,300.0000000000006,4.762093321636115e+19,1.944751630408356e+17,3.029541366757228e+19,1.7131044385748044e+19
86.54683526985232,300.0000000000006,4.876909685707465e+19,1.993660641636022e+17,3.1025999355503067e+19,1.7543731437408043e+19
90.8895771692256,300.0000000000006,4.997873821092723e+19,2.0443253944537437e+17,3.1794943582195954e+19,1.7979362089285927e+19
95.57973842054874,300.0000000000006,5.1252752782665654e+19,2.096953118138843e+17,3.2603420566362853e+19,1.843963690448893e+19
99.92248031992202,300.0000000000006,5.240578940887629e+19,2.1460128884954205e+17,3.33370602785783e+19,1.8854127841448477e+19
104.61264157124515,300.0000000000006,5.362251134106683e+19,2.1969469946426947e+17,3.4110407055846044e+19,1.9292409585756537e+19
109.67801572267413,300.0000000000006,5.4905962612895834e+19,2.2499431573615958e+17,3.492469100660683e+19,1.9756277290552873e+19
114.36817697399727,300.0000000000006,5.606911807944621e+19,2.2993854055678128e+17,3.5664729341596815e+19,2.017445019729268e+19
119.43355112542625,300.0000000000006,5.729812468445905e+19,2.3508114805802192e+17,3.6445788736110674e+19,2.0617254800290402e+19
124.90415520896956,300.0000000000006,5.859618010417408e+19,2.4043929349464096e+17,3.726915563167431e+19,2.1086585179005174e+19
129.96952936039855,300.0000000000006,5.977389020386176e+19,2.4544131399288378e+17,3.801842473891268e+19,2.1510024150956237e+19
135.44013344394187,300.0000000000006,6.101962773138109e+19,2.5065208280551958e+17,3.881002440036736e+19,2.195895124820825e+19
141.34838585416864,300.0000000000006,6.233674742539717e+19,2.560874163238362e+17,3.964529907222199e+19,2.2435360936851358e+19
146.81898993771196,300.0000000000006,6.353287622972893e+19,2.6116416883218717e+17,4.040626695218732e+19,2.2865445108709437e+19
152.72724234793873,300.0000000000006,6.479925278421317e+19,2.664597144617778e+17,4.1210891067207746e+19,2.3321902002543698e+19
159.10815495098365,300.0000000000006,6.613939180056319e+19,2.7198873527706746e+17,4.206057569985338e+19,2.3806827365432795e+19
165.0164073612104,300.0000000000006,6.735739322240072e+19,2.7715528508007363e+17,4.2835449341350175e+19,2.4244788595970503e+19
171.39731996425533,300.0000000000006,6.864792931652618e+19,2.825505336763325e+17,4.365533455267805e+19,2.471004423017184e+19
178.28870557554384,300.0000000000006,7.001467775525902e+19,2.8818818262927824e+17,4.452169789846739e+19,2.5204791674162385e+19
184.66961817858876,300.0000000000006,7.125770864268191e+19,2.9345824037010944e+17,4.531249555242506e+19,2.5651754849886736e+19
191.56100378987728,300.0000000000006,7.257564363546684e+19,2.989668936286832e+17,4.614969875833861e+19,2.6126977983499665e+19
199.00370025006887,300.0000000000006,7.397232669295224e+19,3.0472698082128314e+17,4.703483984933772e+19,2.6632759862793286e+19
205.8950858613574,300.0000000000006,7.524332830169283e+19,3.1011327298651405e+17,4.784344310957312e+19,2.708977191913324e+19
213.33778232154899,300.0000000000006,7.659169775334849e+19,3.157481450308385e+17,4.86998906965307e+19,2.757605891178695e+19
221.3758944985559,300.0000000000006,7.802144906956913e+19,3.216436620304623e+17,4.960578558722497e+19,2.8094019820313727e+19
228.8185909587475,300.0000000000006,7.932320727737691e+19,3.2715820419094586e+17,5.043397783330739e+19,2.856207123987863e+19
236.85670313575443,300.0000000000006,8.070490058079861e+19,3.32931470763879e+17,5.131150244653531e+19,2.906046666349951e+19
245.5378642869219,300.0000000000006,8.217071731694138e+19,3.389748257023466e+17,5.224003917890173e+19,2.9591703312337297e+19
253.5759764639288,300.0000000000006,8.350590817922723e+19,3.44629127127195e+17,5.308953479945215e+19,3.007174425264797e+19
262.25713761509627,300.0000000000006,8.492371248071474e+19,3.5055251574255584e+17,5.3989903243402e+19,3.0583256721570226e+19
270.29524979210316,300.0000000000006,8.621636654226042e+19,3.560607949433323e+17,5.481334994995168e+19,3.104695579736545e+19
