d,T,t
4.44942976679936e+16,300.0,4050.5
6.747362379995546e+16,304.0,4051.0
1.0038758388229734e+17,308.0,4051.5
1.4611673529253888e+17,312.0,4052.0
2.0735555772193178e+17,316.0,4052.5
2.859189066834903e+17,320.0,4053.0
3.8208665296594534e+17,324.0,4053.5
4.943889166021427e+17,328.0,4054.0
6.200813582783611e+17,332.0,4054.5
7.561691705720177e+17,336.0,4055.0
9.004992812567757e+17,340.0,4055.5
1.0523656716117606e+18,344.0,4056.0
1.2123414146973696e+18,348.0,4056.5
1.3815617844023132e+18,352.0,4057.0
1.5610180773035377e+18,356.0,4057.5
1.7512361463468524e+18,360.0,4058.0
1.9522789109786214e+18,364.0,4058.5
2.1638342272829358e+18,368.0,4059.0
2.3852650269942743e+18,372.0,4059.5
2.615629673680601e+18,376.0,4060.0
2.8537094255052063e+18,380.0,4060.5
3.0980583208927887e+18,384.0,4061.0
3.3470647519375524e+18,388.0,4061.5
3.5989966675507937e+18,392.0,4062.0
3.852007359953502e+18,396.0,4062.5
4.104111266789458e+18,400.0,4063.0
4.353171597295485e+18,404.0,4063.5
4.596935374935425e+18,408.0,4064.0
4.833111569998283e+18,412.0,4064.5
5.059460648151155e+18,416.0,4065.0
5.273871946521641e+18,420.0,4065.5
5.474425748101792e+18,424.0,4066.0
5.659445077522121e+18,428.0,4066.5
5.827539113928557e+18,432.0,4067.0
5.977636180870693e+18,436.0,4067.5
6.109003380222067e+18,440.0,4068.0
6.221250825267315e+18,444.0,4068.5
6.314319752785363e+18,448.0,4069.0
6.38845521643615e+18,452.0,4069.5
6.44416559325918e+18,456.0,4070.0
6.482172690009817e+18,460.0,4070.5
6.503357560151736e+18,464.0,4071.0
6.508707883074716e+18,468.0,4071.5
6.499272620431704e+18,472.0,4072.0
6.476128571864711e+18,476.0,4072.5
6.440361606440944e+18,480.0,4073.0
6.393063169183842e+18,484.0,4073.5
6.335340637712024e+18,488.0,4074.0
6.268338610894668e+18,492.0,4074.5
6.193267420994798e+18,496.0,4075.0
6.111435025837785e+18,500.0,4075.5
6.0242787441258e+18,504.0,4076.0
5.93339374272997e+18,508.0,4076.5
5.840555448994234e+18,512.0,4077.0
5.747732867720872e+18,516.0,4077.5
5.657088966919127e+18,520.0,4078.0
5.570962898825511e+18,524.0,4078.5
5.491827215306064e+18,528.0,4079.0
5.422212253305799e+18,532.0,4079.5
5.364590827963417e+18,536.0,4080.0
5.321220830752408e+18,540.0,4080.5
5.293953103602844e+18,544.0,4081.0
5.284019279242002e+18,548.0,4081.5
5.291847254602678e+18,552.0,4082.0
5.316926651441742e+18,556.0,4082.5
5.357784305321902e+18,560.0,4083.0
5.412087967745966e+18,564.0,4083.5
5.476876823827841e+18,568.0,4084.0
5.548877429411938e+18,572.0,4084.5
5.62482834573715e+18,576.0,4085.0
5.701719970127217e+18,580.0,4085.5
5.776873205342536e+18,584.0,4086.0
5.847835948317802e+18,588.0,4086.5
5.912151720639922e+18,592.0,4087.0
5.967111118782005e+18,596.0,4087.5
6.009597946713342e+18,600.0,4088.0
6.036086058061398e+18,604.0,4088.5
6.042769604108747e+18,608.0,4089.0
6.025767643583873e+18,612.0,4089.5
5.981351346316837e+18,616.0,4090.0
5.906176173890666e+18,620.0,4090.5
5.797529246044193e+18,624.0,4091.0
5.653607826840289e+18,628.0,4091.5
5.473832514732753e+18,632.0,4092.0
5.259177827570156e+18,636.0,4092.5
5.012478579890848e+18,640.0,4093.0
4.738644574179557e+18,644.0,4093.5
4.444693070130348e+18,648.0,4094.0
4.1394996221889085e+18,652.0,4094.5
3.8331912347107e+18,656.0,4095.0
3.536178455407919e+18,660.0,4095.5
3.2579446892835635e+18,664.0,4096.0
3.0058454902465823e+18,668.0,4096.5
2.7842450205236265e+18,672.0,4097.0
2.594258678540665e+18,676.0,4097.5
2.43417164070332e+18,680.0,4098.0
2.300352887246422e+18,684.0,4098.5
2.1883233822541087e+18,688.0,4099.0
2.093650086976422e+18,692.0,4099.5
2.0124899679606538e+18,696.0,4100.0
1.9417870264025743e+18,700.0,4100.5
1.8792345649014047e+18,704.0,4101.0
1.8231321749357855e+18,708.0,4101.5
1.7722281311822807e+18,712.0,4102.0
1.7255891119308145e+18,716.0,4102.5
1.6825058720003523e+18,720.0,4103.0
1.6424288566607217e+18,724.0,4103.5
1.6049248112942449e+18,728.0,4104.0
1.5696471177578086e+18,732.0,4104.5
1.5363149894682542e+18,736.0,4105.0
1.5046984890978468e+18,740.0,4105.5
1.4746074898842255e+18,744.0,4106.0
1.4458833891478733e+18,748.0,4106.5
1.4183927921966776e+18,752.0,4107.0
1.3920226365169336e+18,756.0,4107.5
1.3666763868602368e+18,760.0,4108.0
1.3422710379999396e+18,764.0,4108.5
1.3187347340876186e+18,768.0,4109.0
1.296004863740969e+18,772.0,4109.5
1.274026525589078e+18,776.0,4110.0
1.2527512846846198e+18,780.0,4110.5
1.2321361589702164e+18,784.0,4111.0
1.2121427889160192e+18,788.0,4111.5
1.1927367538790892e+18,792.0,4112.0
1.1738870066337874e+18,796.0,4112.5
1.1555654035629998e+18,800.0,4113.0
