d,T,t
1.1228826150267548e+16,722.942506345,502.8678132931411
6476475152601989.0,726.942506345,503.3678132931411
3512980101831553.5,730.942506345,503.8678132931411
1787264017381871.5,734.942506345,504.3678132931411
851067568414814.8,738.942506345,504.8678132931411
378716461341812.9,742.942506345,505.3678132931411
157312654364214.94,746.942506345,505.8678132931411
60959173437543.57,750.942506345,506.3678132931411
22032372604091.336,754.942506345,506.8678132931411
7429247643745.41,758.942506345,507.3678132931411
2338697063096.5903,762.942506345,507.8678132931411
688021874124.2266,766.942506345,508.3678132931411
189419514316.03406,770.942506345,508.8678132931411
48881904261.052155,774.942506345,509.3678132931411
11845548378.473843,778.942506345,509.8678132931411
2700631219.280751,782.942506345,510.3678132931411
580357275.8921173,786.942506345,510.8678132931411
117767583.75210151,790.942506345,511.3678132931411
22603397.509381767,794.942506345,511.8678132931411
4109405.738928648,798.942506345,512.3678132931411
-0.0,802.942506345,512.8678132931411
