t(s),Average T volume 1,Total retention volume 1,Total solute volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1
0.1,300.0000000000006,9.97886942668024e+17,5591389262992534.0,6.144380319335215e+17,3.77857521471511e+17,0.0
0.1925925925925926,300.0000000000006,1.748589519085564e+18,7225669709557361.0,1.077135143711269e+18,6.635869655422346e+17,641740122504870.9
0.2925925925925926,300.0000000000006,2.399424092841517e+18,9034654320239186.0,1.4772769260683886e+18,9.113511707099086e+17,1761341742985051.5
0.4005925925925926,300.0000000000006,2.970108536581077e+18,1.089786149579951e+16,1.827475518275417e+18,1.1285345655748925e+18,3200591234969849.0
0.5172325925925927,300.0000000000006,3.484406063225104e+18,1.2735110699466358e+16,2.142637501059888e+18,1.324174634547348e+18,4858816918402803.0
0.6432037925925927,300.0000000000006,3.962087863771568e+18,1.4528806997333894e+16,2.435060080797866e+18,1.5058081295649587e+18,6690846411410108.0
0.7792526885925928,300.0000000000006,4.416914668563425e+18,1.6294216651913202e+16,2.71326158844516e+18,1.6786737007786104e+18,8685162687742340.0
0.9261854962725928,300.0000000000006,4.857876902260252e+18,1.8046245745111904e+16,2.982788151331984e+18,1.846196357032079e+18,1.0846148151085264e+16
1.084872928566993,300.0000000000006,5.291062343951966e+18,1.9789052858450856e+16,3.2473816179176433e+18,2.010706873171783e+18,1.3184800004095318e+16
1.256255355444945,300.0000000000006,5.72087830566716e+18,2.1525459195519132e+16,3.509740015609817e+18,2.1738977873460111e+18,1.57150435158164e+16
1.4413483764731332,300.0000000000006,6.150663409464892e+18,2.3262157328086224e+16,3.7719012654538547e+18,2.3370474379280256e+18,1.845254875493363e+16
1.6412488391835767,300.0000000000006,6.583001758194547e+18,2.500947786507335e+16,4.0354412287812076e+18,2.5011366154362066e+18,2.141443611206485e+16
1.8571413389108555,300.0000000000006,7.019938574272279e+18,2.6777464064762124e+16,4.301606013721129e+18,2.6669358398932966e+18,2.4619256593101976e+16
2.090305238616317,300.0000000000006,7.463157831240404e+18,2.857401025298045e+16,4.5714199193461606e+18,2.835076831131131e+18,2.808707051013518e+16
2.342122250298215,300.0000000000006,7.914102347504998e+18,3.0405216278197212e+16,4.84575698461498e+18,3.0061005720089216e+18,3.183957460290729e+16
2.614084622914665,300.0000000000006,8.374059712572504e+18,3.2275820517014196e+16,5.125393958366495e+18,3.1804896836128497e+18,3.5900250076155456e+16
2.907803985340431,300.0000000000006,8.844207625991529e+18,3.4190276014642196e+16,5.411037536304544e+18,3.3586852885942615e+18,4.029452507809067e+16
3.2250208967602583,300.0000000000006,9.325651248684356e+18,3.6152498161962696e+16,5.703348077633463e+18,3.541100728012622e+18,4.504994487632244e+16
3.5676151610936717,300.0000000000006,9.819442038838708e+18,3.8166500323057e+16,6.002950648115048e+18,3.7281285343867556e+18,5.019635601385335e+16
3.937616966573758,300.0000000000006,1.032659801904091e+19,4.0235995397797416e+16,6.310448099120114e+18,3.920147821337334e+18,5.576610318567326e+16
4.337218916492252,300.0000000000006,1.0848113948906836e+19,4.236480687885684e+16,6.626426602016888e+18,4.1175282964588196e+18,6.179424355228889e+16
4.768789022404225,300.0000000000006,1.1384973355795266e+19,4.455664858293676e+16,6.95146361544494e+18,4.320634312886835e+18,6.831877888056549e+16
5.234884736789156,300.0000000000006,1.1938155827103037e+19,4.681524882424982e+16,7.286131558474063e+18,4.5298281124104136e+18,7.538090739432477e+16
5.738268108324881,300.0000000000006,1.2508643725176547e+19,4.914442329662662e+16,7.631002318543428e+18,4.745471684971403e+18,8.302529836510186e+16
6.2819221495834645,300.0000000000006,1.309742873594906e+19,5.1547914865286856e+16,7.986650786886471e+18,4.967929644886835e+18,9.130038931048226e+16
6.869068514142735,300.0000000000006,1.3705515662783003e+19,5.402963781665759e+16,8.353656978497105e+18,5.197570336255064e+18,1.0025871021419246e+17
7.503186587866747,300.0000000000006,1.4333927589671612e+19,5.659351012861324e+16,8.732609242531608e+18,5.434767601685369e+18,1.0995723532603107e+17
8.18803410748868,300.0000000000006,1.4983709620085428e+19,5.924352740503462e+16,9.124106028445794e+18,5.67990229859143e+18,1.2045776564318346e+17
8.927669428680368,300.0000000000006,1.5655932110352808e+19,6.198382170421565e+16,9.528757717101177e+18,5.933363226328037e+18,1.3182734521939534e+17
9.72647557556739,300.0000000000006,1.6351694333091262e+19,6.481860022496153e+16,9.947188670245011e+18,6.195548349016104e+18,1.4413871360519424e+17
10.589186214205375,300.0000000000006,1.7072127669998666e+19,6.7752175930789544e+16,1.0380038770381519e+19,6.466865925620339e+18,1.5747079806602186e+17
11.520913703934399,300.0000000000006,1.781839854054814e+19,7.078899886138199e+16,1.0827964866111834e+19,6.747735426185526e+18,1.719092493894151e+17
12.527179392841745,300.0000000000006,1.8591711416127144e+19,7.39336507740646e+16,1.1291642275975043e+19,7.038588464247707e+18,1.8754702513034794e+17
13.613946336861678,300.0000000000006,1.939331182779537e+19,7.719084781589286e+16,1.1771766207034448e+19,7.339869748220222e+18,2.0448502472481872e+17
14.787654636403207,300.0000000000006,2.0224489309918134e+19,8.05654532328512e+16,1.2269053083669137e+19,7.652037991635017e+18,2.2283278138114154e+17
16.05525959990806,300.0000000000006,2.1086580331766133e+19,8.406248776008806e+16,1.2784241838125965e+19,7.975566789845372e+18,2.4270921603473085e+17
17.424272960493298,300.0000000000006,2.198097125981688e+19,8.768713713949904e+16,1.3318095180214678e+19,8.310945483366957e+18,2.642434590957745e+17
18.902807389925353,300.0000000000006,2.2909101366833635e+19,9.144475950024851e+16,1.3871400849181178e+19,8.658680011935134e+18,2.875757462170992e+17
20.499624573711976,300.0000000000006,2.387246590006318e+19,9.53408932753188e+16,1.4444972854022222e+19,9.019293757932077e+18,3.1285839483357677e+17
22.22418713220153,300.0000000000006,2.4872619224906138e+19,9.93812653524173e+16,1.503965271037091e+19,9.393328380399303e+18,3.402568687835264e+17
24.086714695370244,300.0000000000006,2.5911178062797128e+19,1.035717992200701e+17,1.5656310681749311e+19,9.78134464289862e+18,3.699509389291429e+17
