t(s),Average T volume 1,Total retention volume 1,Total solute volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1
0.1,299.9999999999995,9.618270180626317e+17,5955574469779759.0,6.113452890131791e+17,3.4452615457967354e+17,0.0
0.1925925925925926,299.9999999999995,1.6807865111250964e+18,7689361448572422.0,1.0690905798377551e+18,6.033559747014303e+17,650595137341239.5
0.2925925925925926,299.9999999999995,2.3017508140675768e+18,9592781125414348.0,1.4635142217989332e+18,8.268670441145279e+17,1776767028700948.5
0.4005925925925926,299.9999999999995,2.845511120845535e+18,1.1544935014583692e+16,1.808265257742576e+18,1.0224826973242793e+18,3218230764100575.5
0.5172325925925927,299.9999999999995,3.335532088705922e+18,1.3468225941033554e+16,2.1185237898800694e+18,1.1986637845614592e+18,4876288323364055.0
0.6432037925925927,299.9999999999995,3.79079700576089e+18,1.5345741194235334e+16,2.4064799767377894e+18,1.3622636261646904e+18,6707661664173470.0
0.7792526885925928,299.9999999999995,4.224445303230849e+18,1.7189167127635562e+16,2.680532483958177e+18,1.5180219704793503e+18,8701681665689585.0
0.9261854962725928,299.9999999999995,4.645142707296427e+18,1.901155525627676e+16,2.946202609697591e+18,1.6690655995393185e+18,1.0862942803245522e+16
1.084872928566993,299.9999999999995,5.058755822035249e+18,2.0821106334191264e+16,3.20721790154951e+18,1.817514336970544e+18,1.3202477181007006e+16
1.256255355444945,299.9999999999995,5.469459112245474e+18,2.2625916303338484e+16,3.466223393234468e+18,1.9648755739362383e+18,1.5734228771435782e+16
1.4413483764731332,299.9999999999995,5.880346188221938e+18,2.4435986268471652e+16,3.725174325956277e+18,2.112261988069361e+18,1.847388792783537e+16
1.6412488391835767,299.9999999999995,6.293792143787643e+18,2.6261422359870148e+16,3.9855685536509834e+18,2.2605235786668147e+18,2.143858910997786e+16
1.8571413389108555,299.9999999999995,6.711694401413716e+18,2.8110787895869668e+16,4.248599850016452e+18,2.4103368625217644e+18,2.4646900979633828e+16
2.090305238616317,299.9999999999995,7.135634692304162e+18,2.9990903165626556e+16,4.515260310168966e+18,2.56226455993985e+18,2.811891902972503e+16
