t(s),Total retention volume 1,Total retention volume 2
0.005,134.30886867594774,0.5226680012934258
0.0105,249.07469428686025,1.4137301413555046
0.016550000000000002,347.87106700427745,2.7762920867726275
0.023205000000000003,433.255407641698,4.713439476148228
0.030525500000000004,507.37050920309156,7.331951644130479
0.03857805,571.9278619731674,10.73955041280439
0.047435855000000006,628.2364487805212,15.04167410591174
0.05717944050000001,677.2650976538885,20.338297725443002
0.06789738455000002,719.7235438121716,26.721054739621447
0.07968712300500003,756.1479552470955,34.27088386451096
0.09265583530550003,786.9792157338541,43.05637558439706
0.10692141883605004,812.6258385577802,53.13292388426715
0.12261356071965505,833.507184106915,64.54270405644645
0.13987491679162056,850.0761010378021,77.31540409688029
0.15886240847078265,862.8228949040274,91.4695435571505
0.17974864931786091,872.2645278578502,107.01413096653164
0.20272351424964702,878.9241368354221,123.95035283171357
0.22799586567461175,883.3063285460025,142.27296771184297
0.25579545224207295,885.8733053012056,161.97110782638356
0.28637499746628026,887.0258028327069,183.02826917495716
0.3200124972129083,887.0912846340378,205.42138869296795
0.3570137469341992,886.3201327580207,229.11904226003597
0.39771512162761913,884.8890350172985,254.07892345196197
0.44248663379038106,882.9096783285484,280.24485475628046
0.4917352971694192,880.4403747902783,307.54362472839574
0.5459088268863612,877.4983597571484,335.8819334444602
0.6054997095749974,874.0710483232086,365.14367366315486
0.6710496805324973,870.1252761725834,395.18769190499904
0.743154648585747,865.614248707244,425.8460775300438
0.8224701134443217,860.482422932188,456.9229291752551
0.909717124788754,854.6687987700185,488.1934513108662
1.0056888372676294,848.1091363904827,519.4031418907608
1.1112577209943924,840.7375243207395,550.2667518838588
1.2273834930938317,832.487581984229,580.4666458120856
1.355121842403215,823.293448584226,609.6502003385557
1.4956340266435366,813.0906171412233,637.4259912247101
1.6501974293078905,801.8166250080967,663.3587945860529
1.8202171722386797,789.4116056848006,686.963925844525
2.0072388894625477,775.8187327412422,707.7022052856746
2.2129627784088024,760.9846361104289,724.9778784874638
2.439259056249683,744.8599344579172,738.1430543130458
2.6881849618746516,727.4000932188227,746.513422003297
2.962003458062117,708.5668699137987,749.4007022790387
3.2632038038683286,688.330621812783,746.1666909836996
3.5945241842551616,666.6736899460842,736.3007991575789
3.958976602680678,643.5948943326792,719.5166385667395
4.359874262948746,619.11484736358,695.8532313785095
4.800861689243621,593.2813421049414,665.7547673269886
5.285947858167983,566.173640743107,630.0948284350002
5.819542643984782,537.9043502727437,590.1150001842582
6.406496908383261,508.61803541836815,547.2709037822588
7.0521465992215875,478.48685516780216,503.0183632310988
7.762361259143747,447.70485605642193,458.6095032562843
8.543597385058122,416.48316282201915,414.9736939248352
9.402957123563935,385.0474487767718,372.71693720735425
10.0,364.83295118556725,346.29294414901926
