750_0001,,1000_0001,,1250_0001,,750_0001b,,1000_0001b,,1250_0001b,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.2752604528840845e-9,3825192517146059000,4.4214159177718445e-10,4132324089801748500,5.262434042223801e-10,5964893700996761000,3.7043134015630085e-10,1664344846511063000,5.354023361900587e-10,2431976133529338000,4.4512681385628515e-10,3356884575258499000
1.421347118241607e-9,4030527731896955000,7.057573009540608e-10,5225715285059243000,7.43242540524876e-10,6377265071524601000,6.17108392765732e-10,2946737939161041000,5.604091164374067e-10,2028538201400180700,3.096085671712737e-10,2388317834432368600
1.604375239206779e-9,4250955640667304000,8.737686186287079e-10,5694737916762379000,9.333617637203525e-10,6935213113019732000,6.488272294176876e-10,2365099818414147600,6.089824976617598e-10,3633727397088211000,3.9318001509164566e-10,2589693894154762000
1.77505468368971e-9,4343292846654572500,7.600759407912547e-10,4932878657422094000,8.679961427120155e-10,6630631946907772000,6.507907992542121e-10,2035220085878032400,7.422999953430011e-10,2937537211927038000,5.848701945526798e-10,3615628802172227600
1.947556700796442e-9,4664727431453530000,9.621574152350724e-10,5412106201906524000,1.061495092792118e-9,7217817788068626000,8.137511317033339e-10,3140642855115196400,7.813442474094749e-10,3837872979701979000,6.684469638005217e-10,3816110878879621000
2.118938283913133e-9,4845323463704321000,1.1008415332823913e-9,6060217081833851000,1.1731127268800152e-9,7006775082572459000,8.167736457064394e-10,2632860502593478700,8.598790588792489e-10,3303028484197529600,6.450198196127193e-10,3004744665648808000
2.2899613281530113e-9,4980851159139696000,1.1916073572756281e-9,5771205295714706000,1.3193069539005813e-9,7581665281126601000,8.416306305855002e-10,2254588192336656400,7.007899921647376e-10,3129608550472872000,7.940877624352446e-10,3279337934299951000
2.460207538159794e-9,5018730791475006000,1.43536761804717e-9,6310772896014082000,1.3736255937377756e-9,7288828653489453000,1.013019945747507e-9,2893367153165361000,8.304962849867364e-10,2437291075406629000,9.219669774703291e-10,3948886513386461000
2.6442873731636166e-9,5015324672145280000,1.278702426101492e-9,6038020964367140000,1.4628479932327303e-9,7823049787246677000,1.0198887152461144e-9,3321789356326664000,9.45764143964724e-10,2663606220489054000,9.242325326407912e-10,3568273244748925000
2.8020026494257787e-9,5258238346574965000,1.778147081502224e-9,6512179665480625000,1.629711986501575e-9,7435784775623247000,1.1308064650361317e-9,2621196152778678300,7.625706040944112e-10,2244718619851026400,1.2301684200917406e-9,4389434957586987000
2.9829811231451686e-9,5221025596550527000,1.6205692451428394e-9,6286542186830181000,1.8041013124181987e-9,7994454077825567000,9.878543238751723e-10,2374065190936033300,9.94810629210664e-10,3578969112964141000,1.2319276509534075e-9,4093884172826988500
3.1416704300226735e-9,5230340436570132000,1.9935617204275317e-9,6887213571495171000,1.7165680294095631e-9,7672554886398737000,1.3201871883750747e-9,3507661196331720700,1.062936924148618e-9,4001567655341996000,1.2292297379259873e-9,3868972641893288000
3.314082812410202e-9,5540507937165238000,1.9905813660140223e-9,6512583021717040000,2.027457089494256e-9,8299585601113434000,1.3075757390219762e-9,3037042994862274600,1.1716827741316505e-9,3771345317962639400,1.2342424284029685e-9,3705001561300674600
3.4984166124517687e-9,5569025223079765000,2.25016351282675e-9,7098955427801123000,2.0870283238767626e-9,7954931142304862000,1.2868916423936826e-9,2771811005496807400,1.1164814514862015e-9,2917964457263872000,1.12223912780902e-9,3533050313957808000
3.639806418523039e-9,5539999708307356000,2.3508053755482043e-9,6932396192577570000,2.2939490772162332e-9,8646862174241099000,1.3666604697038087e-9,3295552231954919400,1.2785478009203212e-9,3118659387070071000,1.5622751281741573e-9,4374243631924900000
3.825391263145486e-9,5725773298038523000,2.5764990796134196e-9,7337204511443469000,2.2594855236238927e-9,8270732185001895000,1.6341356266548813e-9,3660875289462178000,1.3159716327531379e-9,4215874540817113000,1.5780507355924789e-9,4097504804037748700
4.007346613026859e-9,5811353881575450000,2.6739564652199056e-9,6964557129827710000,2.4685853965813277e-9,8920103457130819000,1.6055071889407587e-9,3045165469112871000,1.2975428114581465e-9,3514215368950284300,1.572279755950986e-9,3880247774613121000
4.153053824739754e-9,5968991773196700000,2.764527369268208e-9,7668285285940688000,2.6105719137832934e-9,8660912117693817000,1.521945319409833e-9,2842180239963472000,1.2123717725002165e-9,2632145316181477400,1.5071307437326405e-9,3748653474804676600
4.338025027228988e-9,6077630546783073000,2.9777106016560154e-9,7406796907432904000,2.817691286278332e-9,9264782757561570000,1.700144413354491e-9,3421973836571248600,1.4302322404599703e-9,4008598193195698000,1.7939907364682175e-9,4609814541971157000
4.5195731793859806e-9,6112026376365350000,3.105438084638055e-9,7796624276895959000,2.806871948838499e-9,8922033420684865000,1.6609277502779816e-9,3228764038022635500,1.4801862781059632e-9,3754250903151677400,1.9371897872237954e-9,4288006198941929500
