t(s),Flux surface 1: solute,Flux surface 2: solute,Average T volume 1,Total retention volume 1,Total solute volume 1,Total 1 volume 1
0.0001,7.661679095261883e+20,0.0,298.00000000000057,7.663511490714229e+16,7.656685012450512e+16,68189083326666.5
0.00021,3.745576066388073e+20,0.0,298.00000000000057,1.1783647106412974e+17,1.1765291205571653e+17,183442619448182.3
0.000331,2.7463554233040054e+20,0.0,298.00000000000057,1.5106739179425398e+17,1.507213916663247e+17,345851008020082.44
0.00046410000000000006,2.2371947666421708e+20,0.0,298.00000000000057,1.808444760317752e+17,1.8028476156022723e+17,559536093354116.2
0.0006105100000000001,1.9127002503718502e+20,0.0,298.00000000000057,2.0884834438932522e+17,2.0801739878276048e+17,830739783248012.6
0.0007715610000000001,1.6809207042404434e+20,0.0,298.00000000000057,2.3591976676480147e+17,2.3475213965662144e+17,1167394827991603.5
0.0009487171000000002,1.5036193034154053e+20,0.0,298.00000000000057,2.6255732887704163e+17,2.6097799856907645e+17,1579072074928832.2
0.0011435888100000003,1.3617699800115505e+20,0.0,298.00000000000057,2.8909440515642e+17,2.870170395903574e+17,2077081565347197.8
0.0013579476910000005,1.2446880566276822e+20,0.0,298.00000000000057,3.157754340377156e+17,3.131004722943734e+17,2674651931233633.0
0.0015937424601000006,1.1458105865400659e+20,0.0,298.00000000000057,3.427930867693179e+17,3.394055775151164e+17,3387173411504851.0
0.001853116706110001,1.0608239215200805e+20,0.0,298.00000000000057,3.7030816954458643e+17,3.660753138248659e+17,4232493485741887.0
0.002138428376721001,9.867449479193274e+19,0.0,298.00000000000057,3.984612010131345e+17,3.932295460030751e+17,5231265905469503.0
0.002452271214393101,9.214301102610922e+19,0.0,298.00000000000057,4.273796762166731e+17,4.2097190290595674e+17,6407356753621107.0
0.0027974983358324116,8.632929010108182e+19,0.0,298.00000000000057,4.571829447877026e+17,4.493941867095662e+17,7788313395789262.0
0.003177248169415653,8.111309666429146e+19,0.0,298.00000000000057,4.8798569161232403e+17,4.785793142179411e+17,9405903831977680.0
0.0035949729863572187,7.640149623139223e+19,0.0,298.00000000000057,5.19900560675644e+17,5.086033220260822e+17,1.1296735377042932e+16
0.004054470284992941,7.212143001283124e+19,0.0,298.00000000000057,5.530402377624966e+17,5.3953674091869875e+17,1.3502962961311584e+16
0.004559917313492235,6.821460209421295e+19,0.0,298.00000000000057,5.875191879758761e+17,5.7144552378714624e+17,1.6073098731155012e+16
0.005115909044841459,6.463387195173306e+19,0.0,298.00000000000057,6.234551768360932e+17,6.043916426958956e+17,1.9062936081085292e+16
0.005727499949325605,6.134065691940169e+19,0.0,298.00000000000057,6.609706641949329e+17,6.384334296700289e+17,2.2536602780080828e+16
0.006400249944258166,5.830302899759897e+19,0.0,298.00000000000057,7.001941360885385e+17,6.736257100524284e+17,2.656775946714827e+16
0.007140274938683983,5.54942988174222e+19,0.0,298.00000000000057,7.412614245974322e+17,7.10019760539808e+17,3.1240961475353104e+16
0.007954302432552383,5.2891947395545694e+19,0.0,298.00000000000057,7.84317056305413e+17,7.476631127937198e+17,3.665320367990836e+16
0.008849732675807622,5.0476809994458374e+19,-1.04e-322,298.00000000000057,8.295156640590264e+17,7.865992158754774e+17,4.2915669823048104e+16
0.009834705943388386,4.823244523872513e+19,-4.677196577032014e-306,298.00000000000057,8.770234932353375e+17,8.26866965526792e+17,5.015570950163678e+16
0.010918176537727226,4.614464204952371e+19,-3.1612198233873085e-290,298.00000000000057,9.270200318880965e+17,8.685001048312934e+17,5.851906765240264e+16
0.012109994191499949,4.420103027349284e+19,-3.3423521001529275e-275,298.00000000000057,9.796997934842771e+17,9.11526498648089e+17,6.817239285564171e+16
0.013420993610649945,4.239077014214537e+19,-6.024168345523901e-261,298.00000000000057,1.0352742811449916e+18,9.559672831872983e+17,7.930605200142542e+16
0.01486309297171494,4.0704302235532894e+19,-2.048965609733489e-247,298.00000000000057,1.0939741631428982e+18,1.0018358920988023e+18,9.213727969924037e+16
0.016449402268886436,3.9133144288749355e+19,-1.444625245100584e-234,298.00000000000057,1.1560516907158748e+18,1.0491369614517805e+18,1.0691369111319706e+17
0.01819434249577508,3.766972456534991e+19,-2.3033007142577095e-222,298.00000000000057,1.2217833909005292e+18,1.0978651180374061e+18,1.2391718649404371e+17
0.02011377674535259,3.630724397576187e+19,-9.00369962670704e-211,298.00000000000057,1.2914730689525788e+18,1.1480036586164511e+18,1.4346827435325683e+17
0.02222515441988785,3.5039560957847e+19,-9.303341206065357e-200,298.00000000000057,1.365455156893573e+18,1.199523132173363e+18,1.659308377570784e+17
0.024547669861876637,3.3861094484578427e+19,-2.7257095704877564e-189,298.00000000000057,1.4440984466915128e+18,1.2523798430584689e+18,1.9171736436642083e+17
0.027102436848064303,3.2766741602199163e+19,-2.4178022123536336e-179,298.00000000000057,1.527810248425546e+18,1.3065143002268884e+18,2.212946553641801e+17
0.029912680532870738,3.175180668349542e+19,-6.904287371522829e-170,298.00000000000057,1.6170410153686618e+18,1.3618496467175544e+18,2.5519002106046096e+17
0.033003948586157815,3.0811940185284297e+19,-6.7230029807895505e-161,298.00000000000057,1.7122894791003282e+18,1.4182901141049037e+18,2.939979615550712e+17
0.0364043434447736,2.994308518481898e+19,-2.356207276539487e-152,298.00000000000057,1.8141083383725678e+18,1.4757195588540593e+18,3.383873192498245e+17
0.04014477778925096,2.9141430335062647e+19,-3.12694527750308e-144,298.00000000000057,1.9231105453265667e+18,1.534000151135471e+18,3.8910887625184986e+17
0.04425925556817606,2.8403368199531676e+19,-1.6482930094346614e-136,298.00000000000057,2.0399762316163356e+18,1.5929713013312182e+18,4.470033539919877e+17
0.04878518112499367,2.772545816841863e+19,-3.609970725372918e-129,298.00000000000057,2.165460314868484e+18,1.6524489245621788e+18,5.130097551581248e+17
0.053763699237493044,2.7104393379900604e+19,-3.427364217831535e-122,298.00000000000057,2.3004008225389384e+18,1.7122251581295124e+18,5.881739701107154e+17
0.05924006916124235,2.6536971241365803e+19,-1.4682487888030459e-115,298.00000000000057,2.445727965499812e+18,1.772068659456605e+18,6.736575525274084e+17
0.06526407607736659,2.602006730745799e+19,-2.947489032207084e-109,298.00000000000057,2.602473987541635e+18,1.8317256211638098e+18,7.707465538295249e+17
0.07189048368510326,2.5550612406528942e+19,-2.873744477027177e-103,298.00000000000057,2.7717838094314035e+18,1.8909216430800916e+18,8.80860295226639e+17
0.07917953205361358,2.5125573007136903e+19,-1.4075929262347802e-97,298.00000000000057,2.9549264773580063e+18,1.9493645956440617e+18,1.0055599527580856e+18
0.08719748525897494,2.474193492762488e+19,-3.576368461166408e-92,298.00000000000057,3.153307415793119e+18,2.0067485923195116e+18,1.146556837734435e+18
0.09601723378487245,2.439669053870085e+19,-4.858594173746779e-87,298.00000000000057,3.368481474420031e+18,2.062759157312647e+18,1.3057202759439516e+18
0.1057189571633597,2.4086829661802623e+19,-3.6321077104142894e-82,298.00000000000057,3.602166748416297e+18,2.117079626280764e+18,1.4850850272202506e+18
0.11639085287969568,2.380933436513434e+19,-1.535376977962059e-77,298.00000000000057,3.8562591417404273e+18,2.1693987499201812e+18,1.6868582451335137e+18
0.12812993816766527,2.356117782939656e+19,-3.7661622869942537e-73,298.00000000000057,4.132847634981803e+18,2.2194193828556828e+18,1.9134260559423654e+18
0.1410429319844318,2.3339327378180375e+19,-5.493602772736011e-69,298.00000000000057,4.434230213602544e+18,2.266868034947035e+18,2.167359935519804e+18
0.15524722518287498,2.314075165421069e+19,-4.877490668794152e-65,298.00000000000057,4.762930409714246e+18,2.31150494391297e+18,2.451423178495916e+18
0.17087194770116249,2.2962431746420703e+19,-2.6947232701739374e-61,298.00000000000057,5.121714411257645e+18,2.3531342057911997e+18,2.7685778769676027e+18
0.18805914247127875,2.2801375889767547e+19,-9.460779035431252e-58,298.00000000000057,5.513608696424649e+18,2.391613386106424e+18,3.121992943743e+18
0.20696505671840665,2.265463710525001e+19,-2.15325655697573e-54,298.00000000000057,5.941918157440563e+18,2.426861946482213e+18,3.515053809503555e+18
0.22776156239024734,2.251933293644413e+19,-3.2378016980338147e-51,298.00000000000057,6.410244684494199e+18,2.4588677782459203e+18,3.951374473122697e+18
0.2506377186292721,2.239266619039625e+19,-3.274987284638082e-48,298.00000000000057,6.922506184627787e+18,2.487691156076294e+18,4.434812566904267e+18
0.2758014904921993,2.2271945432727757e+19,-2.2667459460660652e-45,298.00000000000057,7.482956007627702e+18,2.513465527407913e+18,4.969487993068e+18
0.30348163954141927,2.215460387988918e+19,-1.091155529463971e-42,298.00000000000057,8.096202736329138e+18,2.5363947458721106e+18,5.55980548061606e+18
0.33392980349556123,2.2038215335981105e+19,-3.709900418274713e-40,298.00000000000057,8.767230266735862e+18,2.5567466358144584e+18,6.210481100941591e+18
0.3674227838451174,2.192050597207868e+19,-9.04046661832504e-38,298.00000000000057,9.50141804866142e+18,2.5748431199712584e+18,6.926572380803312e+18
0.40426506222962916,2.1799361012391387e+19,-1.6010624053517932e-35,298.00000000000057,1.0304561276040413e+19,2.5910475162364073e+18,7.713511195882403e+18
0.4447915684525921,2.167282580999777e+19,-2.0880399865670277e-33,298.00000000000057,1.1182890705519688e+19,2.6057499595725563e+18,8.577138167477007e+18
0.48937072529785136,2.153910128348457e+19,-2.030526995572636e-31,298.00000000000057,1.2143091643206142e+19,2.619352171176854e+18,9.523736880099359e+18
0.5384077978276365,2.1396534255344226e+19,-1.4899083908987178e-29,298.00000000000057,1.3192321476697405e+19,2.6322529225156127e+18,1.0560065949486127e+19
0.5923485776104002,2.1243603737701814e+19,-8.34182406621883e-28,298.00000000000057,1.4338224950319299e+19,2.6448354882688794e+18,1.1693386844903928e+19
0.6516834353714402,2.1078904670862365e+19,-3.6018427956316295e-26,298.00000000000057,1.5588946196189876e+19,2.6574581419245937e+18,1.2931485424628298e+19
0.7169517789085843,2.0901130881487606e+19,-1.2114846623300063e-24,298.00000000000057,1.6953136354398038e+19,2.670448351232487e+18,1.4282685360674316e+19
0.7887469567994428,2.0709059137412874e+19,-3.204627841491957e-23,298.00000000000057,1.8439955454760303e+19,2.684100844406511e+18,1.5755851954352982e+19
0.8677216524793872,2.0501536066211824e+19,-6.727068972682703e-22,298.00000000000057,2.0059067102291526e+19,2.698679231201663e+18,1.736038520066337e+19
0.954593817727326,2.027746942657426e+19,-1.1302797404686407e-20,298.00000000000057,2.182062441976862e+19,2.7144204666177434e+18,1.9106201267147928e+19
1.0501531995000586,2.0035824833915535e+19,-1.532496422406518e-19,298.00000000000057,2.373524566433724e+19,2.7315412076252e+18,2.100370175376758e+19
1.1552685194500645,1.9775628602920317e+19,-1.6898405354332344e-18,298.00000000000057,2.581397796288602e+19,2.7502450633746647e+18,2.306373017805876e+19
1.270895371395071,1.9495976940265705e+19,-1.5267323603432384e-17,298.00000000000057,2.8068247717813826e+19,2.770729859299802e+18,2.5297515116791206e+19
1.3980849085345783,1.919605136179246e+19,-1.138341554740838e-16,298.00000000000057,3.0509796440557724e+19,2.79319427055538e+18,2.7716599406050267e+19
1.5379933993880364,1.8875139925870703e+19,-7.053558426549014e-16,298.00000000000057,3.3150601100051116e+19,2.8178434579007447e+18,3.0332754853807178e+19
1.6918927393268401,1.8532663665950777e+19,-3.657208773052178e-15,298.00000000000057,3.600277855707076e+19,2.844893592072947e+18,3.3157882149887635e+19
1.8611820132595243,1.8168207431475923e+19,-1.597590410906015e-14,298.00000000000057,3.907847432499159e+19,2.8745753359977083e+18,3.6203896144512754e+19
2.047400214585477,1.7781554186854871e+19,-5.920597553012713e-14,298.00000000000057,4.238973678173329e+19,2.9071364521954284e+18,3.948259745283648e+19
2.252240236044025,1.7372721613617588e+19,-1.8748650658269434e-13,298.00000000000057,4.594837907601065e+19,2.9428437249326065e+18,4.300553243904317e+19
