t(s),Flux surface 1: solute,Flux surface 2: solute,Average T volume 1,Total retention volume 1,Total solute volume 1,Total 1 volume 1
0.0001,7.661675912093718e+20,0.0,298.00000000000057,7.663508306012021e+16,7.656688196575072e+16,68201094369498.69
0.00021,3.745575140243838e+20,0.0,298.00000000000057,1.1783642903261611e+17,1.1765295410796856e+17,183474924647707.47
0.000331,2.746355253599545e+20,0.0,298.00000000000057,1.510673477127687e+17,1.5072143581307936e+17,345911899689184.56
0.00046410000000000006,2.2371950800984703e+20,0.0,298.00000000000057,1.8084443612620554e+17,1.802848015449173e+17,559634581288361.75
0.0006105100000000001,1.9127009396274846e+20,0.0,298.00000000000057,2.0884831457931546e+17,2.0801742861389773e+17,830885965418175.4
0.0007715610000000001,1.6809217155504895e+20,0.0,298.00000000000057,2.3591975324664317e+17,2.3475215306194058e+17,1167600184702692.5
0.0009487171000000002,1.5036206068492337e+20,0.0,298.00000000000057,2.625573384550765e+17,2.6097798870251037e+17,1579349752566550.0
0.0011435888100000003,1.3617715578652326e+20,0.0,298.00000000000057,2.89094445487961e+17,2.8701699881145565e+17,2077446676506103.8
0.0013579476910000005,1.244689898075182e+20,0.0,298.00000000000057,3.157755138484671e+17,3.131003919638345e+17,2675121884632154.0
0.0015937424601000006,1.1458126849872075e+20,0.0,298.00000000000057,3.4279321606707936e+17,3.394054477846975e+17,3387768282382631.0
0.001853116706110001,1.0608262732456942e+20,0.0,298.00000000000057,3.703083598474656e+17,3.66075123412097e+17,4233236435368552.0
0.002138428376721001,9.867475513405719e+19,0.0,298.00000000000057,3.984614656028475e+17,3.932292819444865e+17,5232183658361132.0
0.002452271214393101,9.214329654944408e+19,0.0,298.00000000000057,4.273800304248266e+17,4.2097155028334016e+17,6408480141486938.0
0.0027974983358324116,8.63296009579382e+19,0.0,298.00000000000057,4.571834063219062e+17,4.4939372834391046e+17,7789677977995314.0
0.003177248169415653,8.111343312673885e+19,0.0,298.00000000000057,4.879862809288787e+17,4.785787303255808e+17,9407550603298444.0
0.0035949729863572187,7.640185867543006e+19,0.0,298.00000000000057,5.199013014060161e+17,5.0860258983139456e+17,1.1298711574621752e+16
0.004054470284992941,7.212181890614428e+19,0.0,298.00000000000057,5.530411572015179e+17,5.395358342174858e+17,1.3505322984033096e+16
