t(s),Average T volume 1,Total retention volume 1,Total solute volume 1,Total 1 volume 1
0.5,323.14999999999895,1.3165031981922696e+17,80696972744.49881,1.316502391222544e+17
1.05,323.14999999999895,2.7643163098134982e+17,80877813401.94348,2.764315501035365e+17
1.6550000000000002,323.14999999999895,4.356497393646815e+17,81077453285.63152,4.356496582872281e+17
2.3205000000000005,323.14999999999895,6.107394355600995e+17,81297985521.15436,6.107393542621143e+17
3.052550000000001,323.14999999999895,8.032770517751059e+17,81541700494.26556,8.032769702334054e+17
3.8578050000000013,323.14999999999895,1.0149941849940037e+18,81811161969.97821,1.0149941031828426e+18
4.743585500000002,323.14999999999895,1.2477926936076078e+18,82109244459.80858,1.247792611498363e+18
5.7179440500000025,323.14999999999895,1.5037610711766423e+18,82439176680.26505,1.5037609887374666e+18
6.789738455000004,323.14999999999895,1.7851923053378263e+18,82804592293.52882,1.7851922225332357e+18
7.9687123005000045,323.14999999999895,2.0946033329902935e+18,83209589393.86237,2.0946032497807048e+18
9.265583530550005,323.14999999999895,2.4347562041973407e+18,83658800546.9366,2.4347561205385416e+18
10.692141883605007,323.14999999999895,2.808681065865293e+18,84157475624.62671,2.808680981707818e+18
12.261356071965508,323.14999999999895,3.2197010710744545e+18,84711580232.1973,3.2197009863628774e+18
13.98749167916206,323.14999999999895,3.671459309377144e+18,85327913234.4137,3.671459224049231e+18
15.886240847078268,323.14999999999895,4.167947835314108e+18,86014247800.33278,4.1679477492998605e+18
17.974864931786097,323.14999999999895,4.713538843913304e+18,86779501568.18459,4.713538757133805e+18
20.272351424964707,323.14999999999895,5.313017999008364e+18,87633943069.20732,5.313017911374428e+18
22.79958656746118,323.14999999999895,5.971619857302422e+18,88589443560.75986,5.971619768712978e+18
25.5795452242073,323.14999999999895,6.695065240509336e+18,89659786065.07022,6.695065150849554e+18
28.637499746628034,323.14999999999895,7.489600278892815e+18,90861046909.32378,7.489600188031763e+18
32.00124972129084,323.14999999999895,8.362036667035757e+18,92212069713.91396,8.362036574823689e+18
35.70137469341993,323.14999999999895,9.31979241547321e+18,93735057985.65898,9.31979232173815e+18
39.77151216276192,323.14999999999895,1.0370932019805975e+19,95456320795.0984,1.0370931924349655e+19
44.24866337903812,323.14999999999895,1.1524204459197567e+19,97407217198.15463,1.1524204361790353e+19
49.173529716941935,323.14999999999895,1.2789076717432635e+19,99625360094.10918,1.2789076617807272e+19
54.59088268863613,323.14999999999895,1.4175759504145357e+19,102156160374.38936,1.4175759401989204e+19
60.549970957499745,323.14999999999895,1.569522041567949e+19,105054819077.35606,1.5695220310624674e+19
67.10496805324972,323.14999999999895,1.7359177735314663e+19,108388910539.41808,1.7359177626925754e+19
74.3154648585747,323.14999999999895,1.918006517977264e+19,112241744607.27753,1.9180065067530908e+19
82.24701134443217,323.14999999999895,2.117095380894925e+19,116716750625.65044,2.1170953692232516e+19
90.97171247887539,323.14999999999895,2.3345411582483235e+19,121943185263.61848,2.3345411460540064e+19
100.56888372676293,323.14999999999895,2.5717273154076262e+19,128083513975.0456,2.5717273025992757e+19
111.12577209943923,323.14999999999895,2.8300282083382145e+19,135342785883.5576,2.8300281948039356e+19
122.73834930938317,323.14999999999895,3.1107554330120286e+19,143980311170.24057,3.1107554186139992e+19
135.5121842403215,323.14999999999895,3.415079903920996e+19,154323047483.8035,3.4150798884886917e+19
149.56340266435365,323.14999999999895,3.7439223544950235e+19,166779440893.00095,3.743922337817083e+19
165.01974293078902,323.14999999999895,4.097806284409074e+19,181849268736.4613,4.0978062662241485e+19
182.02171722386794,323.14999999999895,4.476673959424782e+19,200120496874.36438,4.476673939412733e+19
200.72388894625473,323.14999999999895,4.879683456605352e+19,222236963827.68616,4.879683434381658e+19
221.2962778408802,323.14999999999895,5.305038622615318e+19,248814598691.22076,5.3050385977338585e+19
243.92590562496824,323.14999999999895,5.74995100034152e+19,280289786344.16364,5.749950972312546e+19
268.8184961874651,323.14999999999895,6.2108626327499416e+19,316720137847.7085,6.210862601077933e+19
296.2003458062116,323.14999999999895,6.684005595711832e+19,357629302612.42084,6.6840055599489065e+19
326.32038038683277,323.14999999999895,7.1661951631405875e+19,402037111655.28534,7.1661951229368795e+19
359.45241842551604,323.14999999999895,7.655545536215451e+19,448740795293.67694,7.655545491341373e+19
395.8976602680677,323.14999999999895,8.151779113615057e+19,496717977873.463,8.15177906394326e+19
435.98742629487447,323.14999999999895,8.656043096291836e+19,545409055207.95905,8.656043041750935e+19
480.08616892436197,323.14999999999895,9.170427875503042e+19,594748301183.0931,9.170427816028209e+19
528.5947858167982,323.14999999999895,9.697462364512128e+19,645009636787.128,9.697462300011163e+19
581.9542643984781,323.14999999999895,1.023975470747263e+20,696612131555.5822,1.0239754637811425e+20
640.649690838326,323.14999999999895,1.0799807530426402e+20,749980659131.3806,1.0799807455428347e+20
705.2146599221587,323.14999999999895,1.1379960723698292e+20,805480927636.3583,1.13799606431502e+20
776.2361259143746,323.14999999999895,1.1982402297391553e+20,863406895386.1062,1.198240221105086e+20
854.3597385058122,323.14999999999895,1.2609205195823199e+20,923991750828.2891,1.2609205103424025e+20
940.2957123563934,323.14999999999895,1.3262369590986364e+20,987421145899.6029,1.3262369492244259e+20
1034.8252835920327,323.14999999999895,1.3943866554656583e+20,1053835955552.9283,1.3943866449272993e+20
1138.807811951236,323.14999999999895,1.465568810156681e+20,1123322003051.9238,1.4655687989234611e+20
1253.1885931463598,323.14999999999895,1.5399901894362182e+20,1195914797410.0474,1.5399901774770697e+20
1379.0074524609959,323.14999999999895,1.617866428395906e+20,1271713908521.9768,1.617866415678767e+20
1517.4081977070955,323.14999999999895,1.699407181425325e+20,1351212920483.6685,1.6994071679131966e+20
1669.6490174778053,323.14999999999895,1.7847800944914294e+20,1435575494692.952,1.784780080135675e+20
1837.113919225586,323.14999999999895,1.874111798673474e+20,1525601107814.5242,1.8741117834174638e+20
2021.3253111481447,323.14999999999895,1.9675742677162263e+20,1620364864157.5718,1.967574251512578e+20
2223.9578422629593,323.14999999999895,2.06538909217807e+20,1719336170262.4966,2.0653890749847097e+20
2446.8536264892555,323.14999999999895,2.1678092462761198e+20,1822338401682.0122,2.167809228052737e+20
2692.038989138181,323.14999999999895,2.275102219701049e+20,1929750609478.812,2.2751022004035446e+20
2961.742888051999,323.14999999999895,2.387525305122177e+20,2042240358304.612,2.3875252846997746e+20
3258.4171768571996,323.14999999999895,2.5053419810680298e+20,2160213836043.9373,2.5053419594658916e+20
3584.7588945429197,323.14999999999895,2.628825461725989e+20,2283943560592.664,2.6288254388865545e+20
3943.734783997212,323.14999999999895,2.758260119617974e+20,2413786891027.5127,2.758260095480106e+20
4338.608262396934,323.14999999999895,2.893947470956861e+20,2549950457367.969,2.8939474454573577e+20
4772.969088636628,323.14999999999895,3.0362001425851305e+20,2692804761746.239,3.0362001156570854e+20
5250.765997500291,323.14999999999895,3.185345992165808e+20,2842668253820.4316,3.1853459637391275e+20
5776.34259725032,323.14999999999895,3.34172877415787e+20,2999856484558.8223,3.341728744159306e+20
6354.476856975352,323.14999999999895,3.505707217538496e+20,3164739648774.1484,3.5057071858911e+20
6990.4245426728885,323.14999999999895,3.6776562979011166e+20,3337699003441.644,3.677656264524128e+20
7689.966996940178,323.14999999999895,3.8579685571421464e+20,3519123839503.503,3.8579685219509076e+20
8459.463696634197,323.14999999999895,4.047055000256403e+20,3709424156100.8877,4.047054963162162e+20
9305.910066297618,323.14999999999895,4.2453460573926824e+20,3909032630348.6177,4.245346018302358e+20
10237.00107292738,323.14999999999895,4.453292685456599e+20,4118403488142.726,4.453292644272566e+20
11261.20118022012,323.14999999999895,4.67136751807243e+20,4338012912761.0493,4.671367474692303e+20
12387.821298242132,323.14999999999895,4.900066029287975e+20,4568360241005.507,4.900065983604374e+20
13627.103428066346,323.14999999999895,5.1399077332030646e+20,4809968822122.671,5.139907685103379e+20
14990.313770872983,323.14999999999895,5.3914374532338765e+20,5063386457898.914,5.391437402600014e+20
16229.595900697197,323.14999999999895,5.610724036166294e+20,5295630844201.232,5.6107239832099855e+20
17592.806243503834,323.14999999999895,5.8421645821735535e+20,5534550877475.131,5.8421645268280456e+20
19092.337620591134,323.14999999999895,6.086494393763193e+20,5782335755265.642,6.08649433593984e+20
20741.822135387163,323.14999999999895,6.344379438506103e+20,6042093767108.33,6.344379378085166e+20
22241.353512474463,323.14999999999895,6.570410741490896e+20,6280802801937.865,6.57041067868287e+20
23890.838027270493,323.14999999999895,6.810131949362341e+20,6527869451399.331,6.810131884083652e+20
25705.270993546124,323.14999999999895,7.064339772050688e+20,6785328344212.137,7.064339704197408e+20
