t(s),Average T volume 1,Total retention volume 1,Total solute volume 1,Total 1 volume 1
0.5,323.14999999999895,1.2762118436160707e+17,101785293509.59528,1.276210825763136e+17
1.05,323.14999999999895,2.679543365414544e+17,102054943503.06621,2.6795423448651104e+17
1.6550000000000002,323.14999999999895,4.2225988657368416e+17,102352761008.67578,4.222597842209232e+17
2.3205000000000005,323.14999999999895,5.919219438930744e+17,102681916957.63814,5.919218412111575e+17
3.052550000000001,323.14999999999895,7.784601571871411e+17,103045883150.72304,7.784600541412579e+17
3.8578050000000013,323.14999999999895,9.835426262319845e+17,103448553277.90144,9.83542522783432e+17
4.743585500000002,323.14999999999895,1.2089999565869368e+18,103894302070.97137,1.2089998526926377e+18
5.7179440500000025,323.14999999999895,1.4568405355528264e+18,104388054372.98248,1.456840431164772e+18
6.789738455000004,323.14999999999895,1.72926710640877e+18,104935366109.87251,1.729267001473404e+18
7.9687123005000045,323.14999999999895,2.028694713852071e+18,105542519611.2827,2.0286946083095506e+18
9.265583530550005,323.14999999999895,2.357770085730328e+18,106216636310.17102,2.357769979513694e+18
10.692141883605007,323.14999999999895,2.719392503170377e+18,106965810589.5592,2.7193923962045655e+18
12.261356071965508,323.14999999999895,3.116736191182615e+18,107799269485.56558,3.116736083383348e+18
13.98749167916206,323.14999999999895,3.5532742321968394e+18,108727564159.41829,3.5532741234692756e+18
15.886240847078268,323.14999999999895,4.032803962304731e+18,109762800597.53293,4.0328038525419325e+18
17.974864931786097,323.14999999999895,4.559473749540106e+18,110918918994.01605,4.559473638621188e+18
20.272351424964707,323.14999999999895,5.13781096890133e+18,112212033854.58601,5.1378108566893e+18
22.79958656746118,323.14999999999895,5.772750871223274e+18,113660850220.71284,5.772750757562429e+18
25.5795452242073,323.14999999999895,6.469665880360686e+18,115287175792.7912,6.469665765073514e+18
28.637499746628034,323.14999999999895,7.234394628803483e+18,117116554452.03226,7.234394511686932e+18
32.00124972129084,323.14999999999895,8.073269732798781e+18,119179054156.66206,8.073269613619723e+18
35.70137469341993,323.14999999999895,8.99314288247138e+18,121510251941.70996,8.99314276096113e+18
39.77151216276192,323.14999999999895,1.000140523629906e+19,124152471416.72153,1.0001405112146586e+19
44.24866337903812,323.14999999999895,1.110600030199089e+19,127156344443.06181,1.1106000174834547e+19
49.173529716941935,323.14999999999895,1.2315425374572567e+19,130582789252.63994,1.2315425243989795e+19
54.59088268863613,323.14999999999895,1.363871607620594e+19,134505522471.25192,1.363871594170043e+19
60.549970957499745,323.14999999999895,1.508540645640836e+19,139014251631.81622,1.5085406317394108e+19
67.10496805324972,323.14999999999895,1.6665454288566188e+19,144218724613.81384,1.6665454144347476e+19
74.3154648585747,323.14999999999895,1.8389117446781688e+19,150253834366.3863,1.8389117296527845e+19
82.24701134443217,323.14999999999895,2.026676241994352e+19,157285971329.90353,2.0266762262657573e+19
90.97171247887539,323.14999999999895,2.230858023034169e+19,165520718889.8738,2.2308580064820965e+19
100.56888372676293,323.14999999999895,2.4524178508323807e+19,175211889686.55414,2.4524178333111935e+19
111.12577209943923,323.14999999999895,2.692201437408544e+19,186671014387.8646,2.692201418741444e+19
122.73834930938317,323.14999999999895,2.950863355070787e+19,200275848560.1731,2.950863335043202e+19
135.5121842403215,323.14999999999895,3.2287698874503565e+19,216473986836.80786,3.228769865802959e+19
149.56340266435365,323.14999999999895,3.52588410815451e+19,235774822880.37518,3.5258840845770314e+19
165.01974293078902,323.14999999999895,3.841647045822323e+19,258719149951.8148,3.8416470199504085e+19
182.02171722386794,323.14999999999895,4.174886502147875e+19,285813581315.1939,4.174886473566519e+19
200.72388894625473,323.14999999999895,4.523806620103327e+19,317422720267.14,4.523806588361054e+19
221.2962778408802,323.14999999999895,4.886121984198773e+19,353634175589.3132,4.886121948835353e+19
243.92590562496824,323.14999999999895,5.259373235634075e+19,394150216093.006,5.259373196219053e+19
268.8184961874651,323.14999999999895,5.641380202925752e+19,438288068856.77203,5.641380159096951e+19
296.2003458062116,323.14999999999895,6.030688086270106e+19,485139264498.22565,6.030688037756183e+19
326.32038038683277,323.14999999999895,6.4268298317984416e+19,533837583901.42737,6.426829778414685e+19
359.45241842551604,323.14999999999895,6.830315557978258e+19,583798264316.7026,6.830315499598436e+19
395.8976602680677,323.14999999999895,7.242403761747737e+19,634813355652.859,7.242403698266404e+19
435.98742629487447,323.14999999999895,7.664793091362916e+19,686995646371.3204,7.664793022663354e+19
