t(s),Average T volume 1,Total retention volume 1,Total solute volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1
0.1,300.0000000000006,1.2479934408453614e+18,3638914869343635.5,1.0979598758611944e+18,1.463946501148259e+17,0.0
0.20800000000000002,300.0000000000006,2.3708535384121984e+18,4858972256967788.0,2.0869961091288676e+18,2.7826614788384906e+17,732309142514761.9
0.32464000000000004,300.0000000000006,3.351555317938297e+18,6311347117394889.0,2.94987642564735e+18,3.9331685675297984e+17,2050688420577770.2
0.4506112000000001,300.0000000000006,4.2062967681136845e+18,7861556357064913.0,3.70118240878165e+18,4.934909878375536e+17,3761815137419837.0
0.5866600960000001,300.0000000000006,4.968510773812898e+18,9398158076181948.0,4.370633833612296e+18,5.827511778149732e+17,5727604309453453.0
0.7335929036800002,300.0000000000006,5.670379421570311e+18,1.0878863472995886e+16,4.986718727113172e+18,6.648958302817568e+17,7886000702386060.0
0.8922803359744003,300.0000000000006,6.335615393220261e+18,1.2307516112741434e+16,5.570368729940973e+18,7.427158306587969e+17,1.0223316507755512e+16
1.0636627628523523,300.0000000000006,6.979729261573176e+18,1.3709259939798824e+16,6.135240651847746e+18,8.180320869130323e+17,1.2747262872611248e+16
1.2487557838805405,300.0000000000006,7.612144060951092e+18,1.5116991710077098e+16,6.689606367130003e+18,8.919475156173335e+17,1.5473186493685542e+16
1.448656246590984,300.0000000000006,8.238620986577334e+18,1.654682705869542e+16,7.238519402266992e+18,9.65135920302265e+17,1.841883694939067e+16
1.6645487463182629,300.0000000000006,8.863620350844754e+18,1.798653701766794e+16,7.785909614752074e+18,1.0381212819669431e+18,2.160291710808675e+16
1.8977126460237241,300.0000000000006,9.491024421261097e+18,1.943000337996436e+16,8.335190366300426e+18,1.111358715506724e+18,2.5045336073990236e+16
2.149529657705622,300.0000000000006,1.0124028054306527e+19,2.0881732258074028e+16,8.889157730689183e+18,1.1852210307585574e+18,2.8767560600726424e+16
2.421492030322072,300.0000000000006,1.0765540563874335e+19,2.2340598234353828e+16,9.450359347691467e+18,1.2600479130255296e+18,3.279270492299131e+16
2.7152113927478383,300.0000000000006,1.141790220793308e+19,2.3822380808752584e+16,1.0020824108589588e+19,1.3361098811452795e+18,3.714583738946811e+16
3.0324283041676656,300.0000000000006,1.208298085862468e+19,2.5336102060606344e+16,1.0602168299207981e+19,1.413622439894398e+18,4.185401746170455e+16
3.375022568501079,300.0000000000006,1.2762616784932295e+19,2.688060634086626e+16,1.1195990951368346e+19,1.4927987935157783e+18,4.694643370731814e+16
3.745024373981166,300.0000000000006,1.3458336001506738e+19,2.8467484063769604e+16,1.1803600417853024e+19,1.5738133890470705e+18,5.24547105428858e+16
4.14462632389966,300.0000000000006,1.4171705784187986e+19,3.009298225391425e+16,1.2426352769300666e+19,1.6568470359067566e+18,5.8412996726657624e+16
4.576196429811633,300.0000000000006,1.4904208427792996e+19,3.1763852807034732e+16,1.3065517288801585e+19,1.7420689718402117e+18,6.485831434418037e+16
5.042292144196564,300.0000000000006,1.5657245580259256e+19,3.3483009586761416e+16,1.3722292811695546e+19,1.829639041559406e+18,7.183071741756231e+16
