t(s),Average T volume 1,Total retention volume 1,Total solute volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1
0.1,300.0000000000006,1.194656009302724e+18,4013305537077957.5,1.0314128597389453e+18,1.592298440267025e+17,0.0
0.20800000000000002,300.0000000000006,2.2281076657826458e+18,5602041349329239.0,1.9136973398754017e+18,3.080489919310943e+17,759292626819266.5
0.32464000000000004,300.0000000000006,3.110215816964763e+18,7345433799461057.0,2.660966013319932e+18,4.398032633984356e+17,2101106446938883.8
0.4506112000000001,300.0000000000006,3.875260157852042e+18,9105221039993142.0,3.3065491663447844e+18,5.5578777536286163e+17,3817995104402547.0
0.5866600960000001,300.0000000000006,4.561034122040198e+18,1.0810356289358216e+16,3.8839934456380564e+18,6.604507556418207e+17,5779564470967031.0
0.7335929036800002,300.0000000000006,5.197094874485262e+18,1.2452195372655302e+16,4.4187608365180227e+18,7.579490545139296e+17,7932788080660267.0
0.8922803359744003,300.0000000000006,5.80331757036289e+18,1.4049826217787044e+16,4.927882837514398e+18,8.511171107696378e+17,1.026779586107498e+16
1.0636627628523523,300.0000000000006,6.392290978948878e+18,1.5626960082908002e+16,5.422171360305924e+18,9.416998367378877e+17,1.2792821822166864e+16
1.2487557838805405,300.0000000000006,6.972014441022974e+18,1.7199605247766686e+16,5.908408080521076e+18,1.0308841233504294e+18,1.5522631903710356e+16
1.448656246590984,300.0000000000006,7.547920056991316e+18,1.8774323834286636e+16,6.391052672560655e+18,1.1196185873317848e+18,1.84744732645955e+16
1.6645487463182629,300.0000000000006,8.124059333557467e+18,2.035438170393772e+16,6.873356935667855e+18,1.2086809443326584e+18,2.1667071853021308e+16
1.8977126460237241,300.0000000000006,8.703671441859806e+18,2.1943978420223304e+16,7.357933178512951e+18,1.2986737062065987e+18,2.5120578720040332e+16
2.149529657705622,300.0000000000006,9.28944532810868e+18,2.3548861969242924e+16,7.847005011275008e+18,1.3900347406642107e+18,2.8856714200223956e+16
2.421492030322072,300.0000000000006,9.88365678459397e+18,2.5175475365978536e+16,8.342489656419536e+18,1.4830927174314511e+18,3.289893537701237e+16
2.7152113927478383,300.0000000000006,1.0488270741604315e+19,2.682977862784717e+16,8.846050971873163e+18,1.5781173895872963e+18,3.72726015160257e+16
3.0324283041676656,300.0000000000006,1.1105026839156597e+19,2.851700576368561e+16,9.35915515438773e+18,1.675349530679986e+18,4.200514832520672e+16
3.375022568501079,300.0000000000006,1.1735506330507831e+19,3.0241719785895144e+16,9.883123568372986e+18,1.7750147670256568e+18,4.712627532330036e+16
3.745024373981166,300.0000000000006,1.2381181792257096e+19,3.2008025140230116e+16,1.0419177086600204e+19,1.8773285333922652e+18,5.266814712441324e+16
4.14462632389966,300.0000000000006,1.304345220756932e+19,3.381973034264565e+16,1.0968467022674242e+19,1.9824998443848824e+18,5.866561016754817e+16
4.576196429811633,300.0000000000006,1.3723668301276527e+19,3.568045821994659e+16,1.1532098464396093e+19,2.090732953031794e+18,6.515642562871544e+16
5.042292144196564,300.0000000000006,1.4423151081379084e+19,3.7593722186433e+16,1.2111146512931693e+19,2.2022293250307581e+18,7.218152123020197e+16
5.545675515732289,300.0000000000006,1.5143206008034804e+19,3.956297609921096e+16,1.2706668938669281e+19,2.3171888295885926e+18,7.978526367773488e+16
6.089329556990872,300.0000000000006,1.5885134108791577e+19,4.159165058853828e+16,1.3319715781342786e+19,2.435810922754381e+18,8.801575410589213e+16
6.676475921550143,300.0000000000006,1.6650241008624839e+19,4.36831804617076e+16,1.3951336968186022e+19,2.5582957111321866e+18,9.692514884494235e+16
7.3105939952741545,300.0000000000006,1.7439844459333636e+19,4.5841025417251656e+16,1.4602588695638368e+19,2.684844730731365e+18,1.0657000754667978e+17
7.995441514896088,300.0000000000006,1.8255280787445965e+19,4.80686876680491e+16,1.5274538615874351e+19,2.8156618123724477e+18,1.1701167153114062e+17
8.735076836087776,300.0000000000006,1.9097910547824603e+19,5.036972627547202e+16,1.5968270406186676e+19,2.950953740628256e+18,1.2831667473421499e+17
9.533882982974799,300.0000000000006,1.9969123590587544e+19,5.274776980054665e+16,1.6684887722138352e+19,3.090930908273025e+18,1.4055719037563107e+17
10.396593621612784,300.0000000000006,2.0870343695725363e+19,5.52065274837648e+16,1.7425517712946366e+19,3.235807938716845e+18,1.538115165784155e+17
11.328321111341808,300.0000000000006,2.1803032891195585e+19,5.774979936605235e+16,1.8191314228316795e+19,3.385804259049537e+18,1.681646044632126e+17
12.334586800249154,300.0000000000006,2.276869554337411e+19,6.038148564618803e+16,1.898346076269001e+19,3.541144662342815e+18,1.8370863269511958e+17
13.421353744269087,300.0000000000006,2.3768882289015255e+19,6.310559545404596e+16,1.9803173201155416e+19,3.7020598596023475e+18,2.0054363280349152e+17
14.595062043810614,300.0000000000006,2.4805193863314784e+19,6.592625519083657e+16,2.065170241860306e+19,3.8687870195308534e+18,2.187781699900457e+17
15.862667007315464,300.0000000000006,2.5879284867983663e+19,6.884771655312854e+16,2.153033676694661e+19,4.0415702999097933e+18,2.38530084574144e+17
17.2316803679007,300.0000000000006,2.699286751546078e+19,7.187436433075086e+16,2.2440404479495864e+19,4.2206613719715164e+18,2.599272996626546e+17
18.710214797332757,300.0000000000006,2.814771537981737e+19,7.501072405035382e+16,2.338327601733776e+19,4.406319937339116e+18,2.8310870109015552e+17
20.30703198111938,300.0000000000006,2.9345667180978876e+19,7.826146952238994e+16,2.436036637817092e+19,4.598814237121135e+18,3.0822509616443635e+17
