t(s),Average T volume 1,Total retention volume 1,Total solute volume 1,Total 1 volume 1
0.5,323.14999999999895,1.2506115687283621e+17,115917115761.69766,1.2506104095572045e+17
1.05,323.14999999999895,2.6256947603137296e+17,116240278378.21562,2.6256935979109475e+17
1.6550000000000002,323.14999999999895,4.137570022611501e+17,116597292082.34167,4.1375688566385805e+17
2.3205000000000005,323.14999999999895,5.799761965251296e+17,116991996921.77936,5.799760795331336e+17
3.052550000000001,323.14999999999895,7.627113776370683e+17,117428594503.95021,7.627112602084737e+17
3.8578050000000013,323.14999999999895,9.635911481240625e+17,117911802368.84758,9.635910302122605e+17
4.743585500000002,323.14999999999895,1.1844018863722058e+18,118446927378.83572,1.184401767925279e+18
5.7179440500000025,323.14999999999895,1.4271023687935854e+18,119039951603.3413,1.427102249753634e+18
6.789738455000004,323.14999999999895,1.6938395810200323e+18,119697633231.8688,1.6938394613223995e+18
7.9687123005000045,323.14999999999895,1.9869657688201597e+18,120427625642.41748,1.9869656483925358e+18
9.265583530550005,323.14999999999895,2.3090567662511263e+18,121238618502.15059,2.309056645012508e+18
10.692141883605007,323.14999999999895,2.6629316187535667e+18,122140505727.90439,2.6629314966130637e+18
12.261356071965508,323.14999999999895,3.051673490138962e+18,123144586344.59035,3.051673366994378e+18
13.98749167916206,323.14999999999895,3.4786518015555246e+18,124263805826.7095,3.4786516772917217e+18
15.886240847078268,323.14999999999895,3.9475454933015547e+18,125513047492.95764,3.9475453677885076e+18
17.974864931786097,323.14999999999895,4.4623672210288164e+18,126909486078.42082,4.462367094119332e+18
20.272351424964707,323.14999999999895,5.027488188624259e+18,128473018905.73878,5.027488060151244e+18
22.79958656746118,323.14999999999895,5.647663170228194e+18,130226794339.83707,5.647663040001406e+18
25.5795452242073,323.14999999999895,6.328055068904927e+18,132197862727.93724,6.328054936707068e+18
28.637499746628034,323.14999999999895,7.074258079563761e+18,134417982159.69682,7.074257945145776e+18
32.00124972129084,323.14999999999895,7.892318141699535e+18,136924620573.1504,7.892318004774921e+18
35.70137469341993,323.14999999999895,8.788748846420321e+18,139762207488.56326,8.78874870665811e+18
39.77151216276192,323.14999999999895,9.770540252046778e+18,142983703492.97125,9.770540109063084e+18
