t(s),Total solute volume 1,Total 1 volume 1,Total 2 volume 1,Total retention volume 1
606.5041853439999,8.432288460920931e+16,6.334579785014188e+21,4.672716424183678e+21,1.1007380532082416e+22
621.5041853439999,9.842037173750346e+16,6.323177350533427e+21,4.672539806775945e+21,1.0995815577681085e+22
636.5041853439999,1.1443290999137763e+17,6.310221586012256e+21,4.672341659643011e+21,1.0982677678565236e+22
651.5041853439999,1.3254981229902253e+17,6.295546975381361e+21,4.672118865395335e+21,1.0967798390588938e+22
666.5041853439999,1.529683710352857e+17,6.278975144759386e+21,4.671867807678409e+21,1.095099592080886e+22
681.5041853439999,1.7589233207212714e+17,6.26031436886543e+21,4.6715843108744745e+21,1.0932074572071922e+22
696.5041853439999,2.0152992866235757e+17,6.23935908309666e+21,4.671263580451674e+21,1.0910824193477004e+22
711.5041853439999,2.3009141080575158e+17,6.21588940394856e+21,4.6709001460440907e+21,1.0887019641403437e+22
726.5041853439999,2.6178599960168032e+17,6.189670660228828e+21,4.670487809263768e+21,1.0860420255492153e+22
741.5041853439999,2.968181896809298e+17,6.160452937303719e+21,4.670019597741032e+21,1.0830769353234445e+22
756.5041853439999,3.3538331615812864e+17,6.127970636416608e+21,4.6694877258051816e+21,1.0797793745537954e+22
771.5041853439999,3.7766229568695174e+17,6.091942050940149e+21,4.6688835605038823e+21,1.0761203273739698e+22
786.5041853439999,4.2381544416929434e+17,6.052068961251319e+21,4.66819758942052e+21,1.0720690366116012e+22
801.5041853439999,4.7397526650672614e+17,6.008036249760061e+21,4.6674193842838333e+21,1.0675929609310403e+22
816.5041853439999,5.2823810653164954e+17,5.959511537466677e+21,4.666537552254402e+21,1.0626577327827597e+22
831.5041853439999,5.866545379643497e+17,5.906144843278035e+21,4.665539665738353e+21,1.0572271163554333e+22
846.5041853439999,6.492183699610417e+17,5.84756826717637e+21,4.6644121623320566e+21,1.05126296478784e+22
861.5041853439999,7.158541336019749e+17,5.783395698214032e+21,4.663140209425617e+21,1.0447251761773255e+22
876.5041853439999,7.864029085914926e+17,5.71322254820501e+21,4.661707532864368e+21,1.0375716483977957e+22
891.5041853439999,8.606063428619311e+17,5.636625511905614e+21,4.660096214932882e+21,1.0297582333181357e+22
906.5041853439999,9.380887150425225e+17,5.553162354483283e+21,4.6582864722521044e+21,1.0212386915450435e+22
921.5041853439999,1.0183369143496512e+18,5.462371727757757e+21,4.656256427149861e+21,1.0119646491821956e+22
