t(s),Total solute volume 1,Total 1 volume 1,Total 2 volume 1,Total retention volume 1
668.9009374925456,2.3175200274974986e+18,6.879961237022515e+21,4.160243434089944e+21,1.1042522191139963e+22
683.9009374925456,2.6099527521882445e+18,6.879698581764223e+21,4.158926010212903e+21,1.1041234544729315e+22
698.9009374925456,2.931377390943149e+18,6.878983633210519e+21,4.1575605460811435e+21,1.103947555668261e+22
713.9009374925456,3.2836495919021123e+18,6.877663064885937e+21,4.1561451111709294e+21,1.103709182564877e+22
728.9009374925456,3.6685723203587717e+18,6.875541401593759e+21,4.154677149676023e+21,1.1033887123590135e+22
743.9009374925456,4.0878401007524337e+18,6.872371849951815e+21,4.1531532776240096e+21,1.1029612967676577e+22
758.9009374925456,4.5429657010576645e+18,6.867845994253676e+21,4.151569031355549e+21,1.1023957991310292e+22
773.9009374925456,5.035185485003468e+18,6.861582519500001e+21,4.1499185603353426e+21,1.1016536265320347e+22
788.9009374925456,5.565339561214916e+18,6.853115249167315e+21,4.148194257663092e+21,1.1006874846391634e+22
803.9009374925456,6.13372321290325e+18,6.841880934690372e+21,4.1463863220857487e+21,1.0994400979989004e+22
818.9009374925456,6.73990730641378e+18,6.827207418443898e+21,4.144482245133044e+21,1.097842957088333e+22
833.9009374925456,7.38252812426062e+18,6.808303052970592e+21,4.1424662156819893e+21,1.0958151796776839e+22
848.9009374925456,8.059052192647456e+18,6.78424867229354e+21,4.1403184325462086e+21,1.0932626157032396e+22
863.9009374925456,8.765529806836417e+18,6.75399404735362e+21,4.1380143165629263e+21,1.0900773893723384e+22
878.9009374925456,9.49636189330076e+18,6.716361578839465e+21,4.135523621407527e+21,1.0861381562140283e+22
893.9009374925456,1.0244116964796795e+19,6.670060725392783e+21,4.132809459069188e+21,1.0813114301426767e+22
908.9009374925456,1.0999445027316455e+19,6.613716844744482e+21,4.129827277427038e+21,1.0754543567198824e+22
923.9009374925456,1.175113903857674e+19,6.54591721825149e+21,4.126523843152987e+21,1.0684192200443031e+22
938.9009374925456,1.2486387393337967e+19,6.465274807359543e+21,4.122836282087109e+21,1.0600597476839973e+22
953.9009374925456,1.3191239874378443e+19,6.370507061059825e+21,4.11869120756928e+21,1.0502389508503482e+22
968.9009374925456,1.385127511144846e+19,6.260523657935725e+21,4.114003932040302e+21,1.0388378865087464e+22
983.9009374925456,1.445241577324716e+19,6.134514400546509e+21,4.108677721957647e+21,1.025764453827741e+22
998.9009374925456,1.498179955422468e+19,5.992027347902254e+21,4.102603032573334e+21,1.0109612180029795e+22
1013.9009374925456,1.542859233979239e+19,5.833027991777734e+21,4.095656653166844e+21,9.94411323728436e+21
1028.9009374925456,1.5784633809897517e+19,5.657932688579112e+21,4.0877007053799026e+21,9.7614180277689e+21
1043.9009374925456,1.6044835753872245e+19,5.46761308406143e+21,4.0785814654821975e+21,9.562239385297507e+21
1058.9009374925456,1.6207300684426949e+19,5.263372103470614e+21,4.068128023287503e+21,9.347707427442528e+21
1073.9009374925456,1.6273178433743675e+19,5.046895395717779e+21,4.056150843379657e+21,9.119319417531184e+21
1088.9009374925456,1.6246317376568228e+19,4.820184313099415e+21,4.0424403554986565e+21,8.878870985974634e+21
1103.9009374925456,1.6132786718056978e+19,4.585477356820673e+21,4.0267657678403367e+21,8.628375911379068e+21
1118.9009374925456,1.5940346460342077e+19,4.345166682280168e+21,4.0088743673908864e+21,8.369981396131382e+21
1133.9009374925456,1.5677927511535229e+19,4.1017151364127444e+21,3.988491642147928e+21,8.105884706072201e+21
1148.9009374925456,1.5355163438098729e+19,3.8575778491153656e+21,3.9653226248464567e+21,7.838255637399931e+21
1163.9009374925456,1.498199424467555e+19,3.615130995702975e+21,3.9390549041103215e+21,7.569167894057977e+21
1178.9009374925456,1.4568345536107086e+19,3.3766092175101856e+21,3.909363755733033e+21,7.300541318779329e+21
1193.9009374925456,1.4123875197498038e+19,3.144052425093826e+21,3.8759197842180533e+21,7.034096084509376e+21
1208.9009374925456,1.3657774237490438e+19,2.91926230497066e+21,3.838399298229696e+21,6.771319377437842e+21
1223.9009374925456,1.3178607659221166e+19,2.7037687385272384e+21,3.7964973446448347e+21,6.513444690831286e+21
1238.9009374925456,1.2694183833657762e+19,2.498806418444681e+21,3.749942890039345e+21,6.261443492317675e+21
1253.9009374925456,1.2211445524515252e+19,2.3053020873962147e+21,3.698515107791683e+21,6.016028640712414e+21
