t(s),Flux surface 1: solute,Flux surface 1: solute,Total solute volume 1,Total 2 volume 1,Total 3 volume 1,Total retention volume 1
10.579906891033438,-2.3225523790691295e+19,-2.3225523790691295e+19,97310000369042.06,3.76992387037623e+18,1.442065234478719e+17,1.6110545434416232e+19
11.87677812108344,-2.327007862828824e+19,-2.327007862828824e+19,103370705610971.23,3.9957741412471885e+18,1.628988357936094e+17,1.7084571160276541e+19
13.303336474138442,-2.3311244345668153e+19,-2.3311244345668153e+19,109664487006114.86,4.230341044530456e+18,1.834534864071121e+17,1.8097218535227585e+19
14.600207704188444,-2.3344931408967963e+19,-2.3344931408967963e+19,115384530164510.5,4.4330619450802765e+18,2.0213365461562e+17,1.8974084594352198e+19
16.026766057243446,-2.3376113084007227e+19,-2.3376113084007227e+19,121229569320040.66,4.645575646703252e+18,2.226743383294371e+17,1.9894123858204787e+19
17.595980245603947,-2.340528402704628e+19,-2.340528402704628e+19,127255806114301.23,4.868637458900176e+18,2.452597962249251e+17,2.0860364734855418e+19
19.3221158528005,-2.343289824191132e+19,-2.343289824191132e+19,133532384142773.77,5.102835792385936e+18,2.7009235929679258e+17,2.1875541142427886e+19
20.891330041161,-2.3456072551506153e+19,-2.3456072551506153e+19,139276242142932.5,5.306937065290669e+18,2.926579038940645e+17,2.276204989244314e+19
22.617465648357555,-2.347804713593714e+19,-2.347804713593714e+19,145191196179595.0,5.522537684302047e+18,3.1746829079957645e+17,2.3699267050052276e+19
24.516214816273763,-2.3499055804842897e+19,-2.3499055804842897e+19,151332013197811.75,5.75041735181431e+18,3.447454682802818e+17,2.4690306416567263e+19
26.60483890098159,-2.3519339430727844e+19,-2.3519339430727844e+19,157768789903309.78,5.991190855104588e+18,3.747330708481076e+17,2.5738077445224972e+19
28.5035880688978,-2.3536653998769463e+19,-2.3536653998769463e+19,163694192656798.6,6.202036799180197e+18,4.019802521922411e+17,2.6657716394707313e+19
30.592212153605626,-2.3553311264884376e+19,-2.3553311264884376e+19,169823093204892.22,6.425816793616988e+18,4.319347853082563e+17,2.7634525160959967e+19
